"proporcao","metodo","MAE","MSE","RMSE"
0.05,"linear_inter",0.000501139985487697,1.18823724471556e-05,0.00344708172910878
0.05,"spline_inter",0.000573595720884629,1.55886761159327e-05,0.00394824975348985
0.05,"stine_inter",0.000505429667409829,1.20264375607595e-05,0.0034679154489058
0.05,"LOCF",0.000762293154346136,2.69076972307193e-05,0.00518726298067867
0.05,"NOCB",0.000762685613351543,2.85819345331713e-05,0.00534620749065833
0.05,"exponential_ma",0.000546631216424408,1.27618716120001e-05,0.00357237618567811
0.05,"linear_ma",0.000592673281511884,1.47140092174216e-05,0.00383588441137395
0.05,"simple_ma",0.000651606789970398,1.78817561630727e-05,0.00422868255643206
0.05,"mean",0.00614688857673144,0.00112340075760643,0.0335171710859737
0.05,"median",0.00603883386257749,0.00109502086367047,0.0330910994630048
0.05,"mode",0.00605691707692693,0.00124221453944065,0.0352450640436451
0.05,"random",0.0175831868482546,0.00919312374232525,0.0958807787949454
0.05,"seadec",0.000582150104699869,1.70076603016212e-05,0.00412403446901468
0.1,"linear_inter",0.00109199988480406,3.65984549524943e-05,0.00604966568931658
0.1,"spline_inter",0.00120132656462751,3.93154923113429e-05,0.00627020671998483
0.1,"stine_inter",0.00108766761620701,3.59510218472751e-05,0.00599591709809893
0.1,"LOCF",0.00173827746475874,8.48272151806579e-05,0.00921016911791841
0.1,"NOCB",0.00169054591524623,6.31787510552397e-05,0.00794850621533629
0.1,"exponential_ma",0.00126377987460408,4.76199295939217e-05,0.00690071949827855
0.1,"linear_ma",0.0013754287761626,5.40570334820057e-05,0.00735234884115312
0.1,"simple_ma",0.00152907003290062,6.30931502726402e-05,0.00794311968137458
0.1,"mean",0.0135488780680954,0.0028800180955001,0.0536658000545981
0.1,"median",0.0133870518202284,0.00287744503523432,0.0536418216994382
0.1,"mode",0.0138559720276152,0.00345506543898955,0.0587798046865549
0.1,"random",0.0330195822155236,0.0168555028922226,0.129828744476031
0.1,"seadec",0.00128602553726775,4.7476164498056e-05,0.00689029495000439
0.15,"linear_inter",0.00165224663714626,4.15417142662413e-05,0.00644528620514569
0.15,"spline_inter",0.00196046869361141,6.96270882786476e-05,0.0083442847673511
0.15,"stine_inter",0.00165588555301761,4.18354587738516e-05,0.00646803360951778
0.15,"LOCF",0.00269001705802036,0.000117184464305601,0.0108251773336792
0.15,"NOCB",0.00271260486821061,0.00010941536553961,0.0104601799955646
0.15,"exponential_ma",0.0018391997165132,4.82323361384e-05,0.00694495040575525
0.15,"linear_ma",0.00202266681792173,5.77110326905434e-05,0.00759677778341209
0.15,"simple_ma",0.00227184240513931,7.31926015382514e-05,0.00855526747321505
0.15,"mean",0.0204400371682608,0.00420293639305871,0.0648300577900306
0.15,"median",0.0204172687741598,0.00423470262724449,0.0650745927935358
0.15,"mode",0.0216257739252997,0.00525835181018221,0.0725144937938769
0.15,"random",0.0505353570218313,0.0252446792767397,0.158885742836605
0.15,"seadec",0.00195129797915616,5.92828070247671e-05,0.00769953290951906
0.2,"linear_inter",0.00234395539741434,6.47951573411567e-05,0.0080495439213136
0.2,"spline_inter",0.00302779388326255,0.000113448096977094,0.0106512016682201
0.2,"stine_inter",0.00235790723676693,6.56128043493277e-05,0.00810017310613345
0.2,"LOCF",0.00351103628064855,0.00013936290774755,0.0118052068066404
0.2,"NOCB",0.00352178908464175,0.0001502716287281,0.0122585328946045
0.2,"exponential_ma",0.0025566920054476,7.73586177984379e-05,0.00879537479579113
0.2,"linear_ma",0.00273544498559912,8.90002404914588e-05,0.00943399387806982
0.2,"simple_ma",0.00301592010767659,0.000107726125159774,0.0103791196717146
0.2,"mean",0.0261182869499866,0.00533637100437762,0.0730504688854056
0.2,"median",0.0259005454638373,0.0053203050612309,0.0729404213124033
0.2,"mode",0.0272260284820058,0.00643849131585483,0.0802402100935362
0.2,"random",0.0711998921599351,0.0376096402364154,0.19393205056518
0.2,"seadec",0.00285976240726995,0.000106453960608966,0.010317652863368
0.25,"linear_inter",0.00296963527515535,8.33980038234195e-05,0.00913225075342434
0.25,"spline_inter",0.00349593127680818,0.00011863400263459,0.0108919237343359
0.25,"stine_inter",0.0029982634626376,8.53279020017427e-05,0.00923731032291017
0.25,"LOCF",0.00484096099316526,0.000236538275216898,0.0153798008835257
0.25,"NOCB",0.00447623845876469,0.000188998251864097,0.0137476635056324
0.25,"exponential_ma",0.00336700830922811,0.000105346403197753,0.010263839593337
0.25,"linear_ma",0.00361114715282736,0.000121838946136169,0.0110380680436464
0.25,"simple_ma",0.00396876629631803,0.000148592627897443,0.0121898575831485
0.25,"mean",0.0333696906211127,0.0070430142099811,0.0839226680342153
0.25,"median",0.0331566023156974,0.00706150586802945,0.0840327666331976
0.25,"mode",0.034021222306001,0.00711786924886262,0.0843674655827862
0.25,"random",0.085663858721104,0.043505861146679,0.208580586696555
0.25,"seadec",0.00344639886739959,0.000108016235031411,0.0103930859243735
